"@timestamp per 30 minutes",Count
"December 16th 2019, 00:00:00.000",0
"December 16th 2019, 00:30:00.000",0
"December 16th 2019, 01:00:00.000",0
"December 16th 2019, 01:30:00.000",306
"December 16th 2019, 02:00:00.000","24,183"
"December 16th 2019, 02:30:00.000","24,463"
"December 16th 2019, 03:00:00.000","35,191"
"December 16th 2019, 03:30:00.000","60,110"
"December 16th 2019, 04:00:00.000","54,653"
"December 16th 2019, 04:30:00.000","52,643"
"December 16th 2019, 05:00:00.000","23,393"
"December 16th 2019, 05:30:00.000","18,935"
"December 16th 2019, 06:00:00.000","19,903"
"December 16th 2019, 06:30:00.000","6,047"
"December 16th 2019, 07:00:00.000",0
"December 16th 2019, 07:30:00.000",0
"December 16th 2019, 08:00:00.000",0
"December 16th 2019, 08:30:00.000",0
"December 16th 2019, 09:00:00.000",0
"December 16th 2019, 09:30:00.000",0
"December 16th 2019, 10:00:00.000",0
"December 16th 2019, 10:30:00.000",0
"December 16th 2019, 11:00:00.000",0
"December 16th 2019, 11:30:00.000",0
"December 16th 2019, 12:00:00.000",0
"December 16th 2019, 12:30:00.000",0
"December 16th 2019, 13:00:00.000",0
"December 16th 2019, 13:30:00.000",0
"December 16th 2019, 14:00:00.000",0
"December 16th 2019, 14:30:00.000",0
"December 16th 2019, 15:00:00.000",0
"December 16th 2019, 15:30:00.000",0
"December 16th 2019, 16:00:00.000",0
"December 16th 2019, 16:30:00.000",0
"December 16th 2019, 17:00:00.000",0
"December 16th 2019, 17:30:00.000",0
"December 16th 2019, 18:00:00.000",0
"December 16th 2019, 18:30:00.000",0
"December 16th 2019, 19:00:00.000",0
"December 16th 2019, 19:30:00.000",0
"December 16th 2019, 20:00:00.000",0
"December 16th 2019, 20:30:00.000",0
"December 16th 2019, 21:00:00.000",0
"December 16th 2019, 21:30:00.000",0
"December 16th 2019, 22:00:00.000",0
"December 16th 2019, 22:30:00.000",0
"December 16th 2019, 23:00:00.000",0
"December 16th 2019, 23:30:00.000",0
